Study,Stage,Study_Type,Pesticide ,Species,Duration_h,Method,Application_Rate,Unit,Survival,Body_Weight_g,SD,Body_Length_mm,ExposedSkin_cm2,N_Rep,Rep,N_Exp,N_Total
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,96,Overspray,0,ug a.i./cm2,1,0.25,0.034053973,13.5,0.96,5,6,30,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,96,Overspray,18.6,ug a.i./cm2,1,0.25,0.034053973,13.5,0.96,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,96,Overspray,36.9,ug a.i./cm2,0.7,0.25,0.034053973,13.5,0.96,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,96,Overspray,73.8,ug a.i./cm2,0.1,0.25,0.034053973,13.5,0.96,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,96,Overspray,147.6,ug a.i./cm2,0,0.25,0.034053973,13.5,0.96,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Centrolene prosblepon,96,Overspray,295.2,ug a.i./cm2,0,0.25,0.034053973,13.5,0.96,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,96,Overspray,0,ug a.i./cm2,1,0.85,0.109729467,20.4,2.18,5,6,30,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,96,Overspray,18.6,ug a.i./cm2,1,0.85,0.109729467,20.4,2.18,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,96,Overspray,36.9,ug a.i./cm2,0.8,0.85,0.109729467,20.4,2.18,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,96,Overspray,73.8,ug a.i./cm2,0.3,0.85,0.109729467,20.4,2.18,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,96,Overspray,147.6,ug a.i./cm2,NA,0.85,0.109729467,20.4,2.18,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Pristimantis taeniatus,96,Overspray,295.2,ug a.i./cm2,NA,0.85,0.109729467,20.4,2.18,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,96,Overspray,0,ug a.i./cm2,0.9,0.063,0.016053197,8.5,0.38,10,6,60,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,96,Overspray,18.6,ug a.i./cm2,0.65,0.063,0.016053197,8.5,0.38,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,96,Overspray,36.9,ug a.i./cm2,0.65,0.063,0.016053197,8.5,0.38,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,96,Overspray,73.8,ug a.i./cm2,0.45,0.063,0.016053197,8.5,0.38,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,96,Overspray,147.6,ug a.i./cm2,0.1,0.063,0.016053197,8.5,0.38,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella granulosa,96,Overspray,295.2,ug a.i./cm2,0,0.063,0.016053197,8.5,0.38,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,96,Overspray,0,ug a.i./cm2,1,0.18,0.036734694,12.1,0.77,9,6,36,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,96,Overspray,18.6,ug a.i./cm2,0.83,0.18,0.036734694,12.1,0.77,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,96,Overspray,36.9,ug a.i./cm2,0.67,0.18,0.036734694,12.1,0.77,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,96,Overspray,73.8,ug a.i./cm2,0.5,0.18,0.036734694,12.1,0.77,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,96,Overspray,147.6,ug a.i./cm2,0.44,0.18,0.036734694,12.1,0.77,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Scinax ruber,96,Overspray,295.2,ug a.i./cm2,0.05,0.18,0.036734694,12.1,0.77,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,96,Overspray,0,ug a.i./cm2,0.9,0.05,0.042808524,7.7,0.31,10,6,60,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,96,Overspray,18.6,ug a.i./cm2,0.9,0.05,0.042808524,7.7,0.31,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,96,Overspray,36.9,ug a.i./cm2,0.85,0.05,0.042808524,7.7,0.31,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,96,Overspray,73.8,ug a.i./cm2,0.65,0.05,0.042808524,7.7,0.31,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,96,Overspray,147.6,ug a.i./cm2,0.5,0.05,0.042808524,7.7,0.31,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella roqueana,96,Overspray,295.2,ug a.i./cm2,0.2,0.05,0.042808524,7.7,0.31,10,1,10,110
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,96,Overspray,0,ug a.i./cm2,1,0.18,0.018918874,12,0.75,5,6,30,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,96,Overspray,18.6,ug a.i./cm2,1,0.18,0.018918874,12,0.75,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,96,Overspray,36.9,ug a.i./cm2,1,0.18,0.018918874,12,0.75,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,96,Overspray,73.8,ug a.i./cm2,1,0.18,0.018918874,12,0.75,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,96,Overspray,147.6,ug a.i./cm2,0.7,0.18,0.018918874,12,0.75,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Engystomops pustulosus,96,Overspray,295.2,ug a.i./cm2,0.2,0.18,0.018918874,12,0.75,5,1,5,55
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,96,Overspray,0,ug a.i./cm2,1,0.114,0.018367347,10.4,0.56,9,6,36,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,96,Overspray,18.6,ug a.i./cm2,1,0.114,0.018367347,10.4,0.56,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,96,Overspray,36.9,ug a.i./cm2,1,0.114,0.018367347,10.4,0.56,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,96,Overspray,73.8,ug a.i./cm2,0.94,0.114,0.018367347,10.4,0.56,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,96,Overspray,147.6,ug a.i./cm2,0.78,0.114,0.018367347,10.4,0.56,9,1,9,81
Bernal_2009,Juvenile,Lab,POEA_Glyphosate_CosmoFlux,Rhinella marina,96,Overspray,295.2,ug a.i./cm2,0.33,0.114,0.018367347,10.4,0.56,9,1,9,81
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,96,Overspray,0,ug a.i./cm2,1,1.285,0.0025,22.5,0.049,13,3,3,234
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,96,Overspray,37.4,ug a.i./cm2,0.85,1.285,0.0025,22.5,0.049,13,3,3,234
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,96,Overspray,50.2,ug a.i./cm2,0.6,1.285,0.0025,22.5,0.049,13,3,3,234
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,96,Overspray,62.8,ug a.i./cm2,0.28,1.285,0.0025,22.5,0.049,13,3,3,234
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,96,Overspray,74.9,ug a.i./cm2,0.1,1.285,0.0025,22.5,0.049,13,3,3,234
Meza-Joya_2013,Adult,Lab,Glyphosate_CosmoFlux,Eleutherodactylus johnstonei,96,Overspray,112.3,ug a.i./cm2,0,1.285,0.0025,22.5,0.049,13,3,3,234
