"","Percentile","HC.Value","HC.Upper.CI","HC.Lower.CI","Distribution","Data.ID"
"1",0.01,0.15274122734318,3.66574544396416,0.00627076051136596,"llogis","Glyphosate.Surrogate"
"2",0.05,1.59749250345188,15.5725816506357,0.163627876548221,"llogis","Glyphosate.Surrogate"
"3",0.1,4.62304822065475,30.3954915973254,0.699520993886462,"llogis","Glyphosate.Surrogate"
"4",0.15,8.92587682594253,56.4045726207606,1.65206472960675,"llogis","Glyphosate.Surrogate"
"5",0.2,14.6477107689104,79.9500771458418,3.18496488931669,"llogis","Glyphosate.Surrogate"
"6",0.25,22.0519016137209,106.833201825012,5.29918265761696,"llogis","Glyphosate.Surrogate"
"7",0.3,31.5254426833934,143.046037003161,6.9636851735255,"llogis","Glyphosate.Surrogate"
"8",0.35,43.6150912907071,172.391006945722,10.323543432312,"llogis","Glyphosate.Surrogate"
"9",0.4,59.0939475987568,233.793073482778,15.6530684495895,"llogis","Glyphosate.Surrogate"
"10",0.45,79.0727362099419,313.168055937722,18.9184134109234,"llogis","Glyphosate.Surrogate"
"11",0.5,105.187387535481,410.924757080992,27.8375898055745,"llogis","Glyphosate.Surrogate"
"12",0.55,139.926693154554,546.793845910096,34.0075243420229,"llogis","Glyphosate.Surrogate"
"13",0.6,187.23383605485,712.08956254274,46.8146084193586,"llogis","Glyphosate.Surrogate"
"14",0.65,253.682525224864,1091.82421636373,58.0602952535193,"llogis","Glyphosate.Surrogate"
"15",0.7,350.966887528209,1460.22455365776,83.4430175213657,"llogis","Glyphosate.Surrogate"
"16",0.75,501.742964863182,2604.44926371156,101.165306194229,"llogis","Glyphosate.Surrogate"
"17",0.8,755.366259690459,3769.25780534812,136.097703633648,"llogis","Glyphosate.Surrogate"
"18",0.85,1239.58538889777,8390.53202470252,217.46332841025,"llogis","Glyphosate.Surrogate"
"19",0.9,2393.30977494596,18443.3630537726,382.793357815926,"llogis","Glyphosate.Surrogate"
"20",0.95,6926.09603652688,70122.7352995263,591.271189826816,"llogis","Glyphosate.Surrogate"
"21",0.99,72438.7690802037,1480760.35117015,2412.52182720626,"llogis","Glyphosate.Surrogate"
